opened. file name:some_file.txt, mode:w, time:17:20:38.489536
closed. file name:some_file.txt, mode:w, time:17:20:38.489536
opened. file name:some_file.txt, mode:w, time:17:22:25.369157
closed. file name:some_file.txt, mode:w, time:17:22:25.369157
opened. file name:some_file.txt, mode:w, time:17:22:28.072424
closed. file name:some_file.txt, mode:w, time:17:22:28.072424
opened. file name:some_file.txt, mode:w, time:17:22:29.909171
closed. file name:some_file.txt, mode:w, time:17:22:29.909171
opened. file name:some_file.txt, mode:w, time:19:54:35.341612
closed. file name:some_file.txt, mode:w, time:19:54:35.341612
opened. file name:some_file.txt, mode:w, time:19:54:52.371441
closed. file name:some_file.txt, mode:w, time:19:54:52.371441
opened. file name:some_file.txt, mode:w, time:19:55:25.432480
closed. file name:some_file.txt, mode:w, time:19:55:25.432480
opened. file name:some_file.txt, mode:w, time:19:55:25.436482
closed. file name:some_file.txt, mode:w, time:19:55:25.436482
opened. file name:some_file.txt, mode:w, time:19:56:02.178902
closed. file name:some_file.txt, mode:w, time:19:56:02.178902
opened. file name:some_file.txt, mode:w, time:19:56:51.026741
closed. file name:some_file.txt, mode:w, time:19:56:51.026741
opened. file name:some_file.txt, mode:w, time:19:57:31.055120
closed. file name:some_file.txt, mode:w, time:19:57:31.055120
opened. file name:some_file.txt, mode:w, time:19:57:34.102025
closed. file name:some_file.txt, mode:w, time:19:57:34.102025
opened. file name:some_file.txt, mode:w, time:19:57:48.706727
closed. file name:some_file.txt, mode:w, time:19:57:48.706727
opened. file name:some_file.txt, mode:w, time:19:57:48.722353
closed. file name:some_file.txt, mode:w, time:19:57:48.722353
opened. file name:some_file.txt, mode:w, time:20:20:57.073785
closed. file name:some_file.txt, mode:w, time:20:20:57.073785
opened. file name:some_file.txt, mode:w, time:20:20:57.073785
closed. file name:some_file.txt, mode:w, time:20:20:57.073785
opened. file name:some_file.txt, mode:w, time:20:21:19.634458
closed. file name:some_file.txt, mode:w, time:20:21:19.634458
opened. file name:some_file.txt, mode:w, time:20:21:19.634458
closed. file name:some_file.txt, mode:w, time:20:21:19.650075
opened. file name:some_file.txt, mode:w, time:20:23:07.391452
closed. file name:some_file.txt, mode:w, time:20:23:07.391452
opened. file name:some_file.txt, mode:w, time:20:23:07.391452
closed. file name:some_file.txt, mode:w, time:20:23:07.391452
